Feature,Correlation,Abs_Correlation
returns,0.6284428455731876,0.6284428455731876
log_returns,0.6262013929247118,0.6262013929247118
price_acceleration,0.4881984775861729,0.4881984775861729
stochastic_k,0.3111371634022269,0.3111371634022269
z_score,0.29419171829187546,0.29419171829187546
mean_reversion_signal,-0.26635837578987004,0.26635837578987004
ema_slope,0.2550561991884071,0.2550561991884071
above_ema,0.2488472829446462,0.2488472829446462
trend_continuation_probability,0.24194649184636055,0.24194649184636055
momentum_score,0.23273127870615856,0.23273127870615856
cci_14,0.21503451149621453,0.21503451149621453
rsi_14,0.17409566704527782,0.17409566704527782
trend_strength,0.14013037553333282,0.14013037553333282
plus_di,0.11888188919311463,0.11888188919311463
minus_di,-0.11624329048581374,0.11624329048581374
stochastic_d,0.08293469417772834,0.08293469417772834
macd_histogram,0.07458471425456349,0.07458471425456349
whale_tx_count,-0.033211472799835065,0.033211472799835065
oil_price,-0.03132654302310768,0.03132654302310768
price_slope,0.030886911356613967,0.030886911356613967
inflation_rate_yoy,-0.0291718891084237,0.0291718891084237
crypto,-0.02745742754696785,0.02745742754696785
hour_of_day,0.027010421326376263,0.027010421326376263
whale_btc_volume,-0.025297696829937617,0.025297696829937617
macd,0.023083989813070836,0.023083989813070836
whale_usd_volume,-0.022398543269608353,0.022398543269608353
inflation_rate_mom,-0.020544679735270598,0.020544679735270598
us_dollar_index,-0.018452830981136762,0.018452830981136762
solana,-0.01792320930939513,0.01792320930939513
num_trades,-0.017328521379162284,0.017328521379162284
Unemployment Rate,0.017256311607702253,0.017256311607702253
expanding_spread,0.015529421765620144,0.015529421765620144
Nasdaq,-0.015463570935675271,0.015463570935675271
Donald Trump,0.014370626325706284,0.014370626325706284
Total Employment,-0.014010656236846046,0.014010656236846046
adx,0.013885066897887988,0.013885066897887988
elon musk,-0.01346235348951629,0.01346235348951629
bitcoin price,-0.013450656941785488,0.013450656941785488
CPI,-0.013134847040928575,0.013134847040928575
drawdown_max,0.013010729395398563,0.013010729395398563
long_term_holder_supply,-0.011109825033529103,0.011109825033529103
open,-0.011036289966466243,0.011036289966466243
sma_200,-0.010306763667139628,0.010306763667139628
ema_200,-0.010194911523395522,0.010194911523395522
btc_dominance,-0.009760088672707095,0.009760088672707095
fed_meeting,-0.00901411784020542,0.00901411784020542
rolling_spread_30,0.008521563367345325,0.008521563367345325
github_activity,0.008383972281138264,0.008383972281138264
volume,-0.008342537939526266,0.008342537939526266
bollinger_lower,-0.008108581470636941,0.008108581470636941
bb_lower,-0.00809440940621962,0.00809440940621962
ema_50,-0.008027715777076202,0.008027715777076202
sma_50,-0.00800812772473198,0.00800812772473198
sma_20,-0.007861562996453788,0.007861562996453788
bollinger_middle,-0.007861562996453788,0.007861562996453788
bb_upper,-0.00762042903646756,0.00762042903646756
bollinger_upper,-0.0076149160544753,0.0076149160544753
ethereum,-0.007508631315400237,0.007508631315400237
ema_20,-0.007443244862222179,0.007443244862222179
global_volume,-0.006948214681617128,0.006948214681617128
active_addresses_24h,0.006862520914894317,0.006862520914894317
bitcoin,0.006537655180929424,0.006537655180929424
S&P 500,-0.005787711909301598,0.005787711909301598
cardano,-0.004273350779564266,0.004273350779564266
post_meeting,0.003698722415453017,0.003698722415453017
high,-0.003570762981893917,0.003570762981893917
gold_price,0.003340207331315122,0.003340207331315122
interest_rate,-0.0032743743371703455,0.0032743743371703455
low,-0.0027487415998849467,0.0027487415998849467
atr_14,-0.002570806985245763,0.002570806985245763
Total_market_cap,-0.0023489813834925216,0.0023489813834925216
pre_meeting,0.002144898832941854,0.002144898832941854
bb_width,0.0020265793045555233,0.0020265793045555233
shiba inu,-0.0018142308994839632,0.0018142308994839632
volatility_30,0.00181047202391756,0.00181047202391756
dogecoin,-0.0015930515014776338,0.0015930515014776338
is_weekend,-0.0014915119436523896,0.0014915119436523896
vwap,0.0012875873728671722,0.0012875873728671722
day_of_week,-0.0011679767939926627,0.0011679767939926627
macd_signal,0.0009466289677431823,0.0009466289677431823
AMD GPU,-0.0008932849344069748,0.0008932849344069748
avg(fee_usd),-0.00045666465463157054,0.00045666465463157054
silver_price,-0.00039496787496864867,0.00039496787496864867
gdp_growth_rate,-0.00032038682283561896,0.00032038682283561896
Nvidia GPU,-0.00019704287236214544,0.00019704287236214544
volatility_cluster_indicator,3.803112156820582e-05,3.803112156820582e-05
